TIMESLICE,YEAR,VALUE
WINTER_NORMAL_BASE,2025,0.166438356
WINTER_NORMAL_BASE,2030,0.166438356
WINTER_NORMAL_RAMP,2025,0.036986301
WINTER_NORMAL_RAMP,2030,0.036986301
WINTER_NORMAL_PEAK_HOUR,2025,0.017568493
WINTER_NORMAL_PEAK_HOUR,2030,0.017568493
WINTER_NORMAL_CRITICAL_HOUR,2025,0.000924658
WINTER_NORMAL_CRITICAL_HOUR,2030,0.000924658
WINTER_PEAK_BASE,2025,0.016643836
WINTER_PEAK_BASE,2030,0.016643836
WINTER_PEAK_RAMP,2025,0.00369863
WINTER_PEAK_RAMP,2030,0.00369863
WINTER_PEAK_PEAK_HOUR,2025,0.001756849
WINTER_PEAK_PEAK_HOUR,2030,0.001756849
WINTER_PEAK_CRITICAL_HOUR,2025,9.2466e-05
WINTER_PEAK_CRITICAL_HOUR,2030,9.2466e-05
WINTER_SUPERPEAK_BASE,2025,0.001849315
WINTER_SUPERPEAK_BASE,2030,0.001849315
WINTER_SUPERPEAK_RAMP,2025,0.000410959
WINTER_SUPERPEAK_RAMP,2030,0.000410959
WINTER_SUPERPEAK_PEAK_HOUR,2025,0.000195205
WINTER_SUPERPEAK_PEAK_HOUR,2030,0.000195205
WINTER_SUPERPEAK_CRITICAL_HOUR,2025,1.0274e-05
WINTER_SUPERPEAK_CRITICAL_HOUR,2030,1.0274e-05
SUMMER_NORMAL_BASE,2025,0.166438356
SUMMER_NORMAL_BASE,2030,0.166438356
SUMMER_NORMAL_RAMP,2025,0.036986301
SUMMER_NORMAL_RAMP,2030,0.036986301
SUMMER_NORMAL_PEAK_HOUR,2025,0.017568493
SUMMER_NORMAL_PEAK_HOUR,2030,0.017568493
SUMMER_NORMAL_CRITICAL_HOUR,2025,0.000924658
SUMMER_NORMAL_CRITICAL_HOUR,2030,0.000924658
SUMMER_PEAK_BASE,2025,0.016643836
SUMMER_PEAK_BASE,2030,0.016643836
SUMMER_PEAK_RAMP,2025,0.00369863
SUMMER_PEAK_RAMP,2030,0.00369863
SUMMER_PEAK_PEAK_HOUR,2025,0.001756849
SUMMER_PEAK_PEAK_HOUR,2030,0.001756849
SUMMER_PEAK_CRITICAL_HOUR,2025,9.2466e-05
SUMMER_PEAK_CRITICAL_HOUR,2030,9.2466e-05
SUMMER_SUPERPEAK_BASE,2025,0.001849315
SUMMER_SUPERPEAK_BASE,2030,0.001849315
SUMMER_SUPERPEAK_RAMP,2025,0.000410959
SUMMER_SUPERPEAK_RAMP,2030,0.000410959
SUMMER_SUPERPEAK_PEAK_HOUR,2025,0.000195205
SUMMER_SUPERPEAK_PEAK_HOUR,2030,0.000195205
SUMMER_SUPERPEAK_CRITICAL_HOUR,2025,1.0274e-05
SUMMER_SUPERPEAK_CRITICAL_HOUR,2030,1.0274e-05
SHOULDER_NORMAL_BASE,2025,0.342123288
SHOULDER_NORMAL_BASE,2030,0.342123288
SHOULDER_NORMAL_RAMP,2025,0.076027397
SHOULDER_NORMAL_RAMP,2030,0.076027397
SHOULDER_NORMAL_PEAK_HOUR,2025,0.036113014
SHOULDER_NORMAL_PEAK_HOUR,2030,0.036113014
SHOULDER_NORMAL_CRITICAL_HOUR,2025,0.001900685
SHOULDER_NORMAL_CRITICAL_HOUR,2030,0.001900685
SHOULDER_PEAK_BASE,2025,0.034212329
SHOULDER_PEAK_BASE,2030,0.034212329
SHOULDER_PEAK_RAMP,2025,0.00760274
SHOULDER_PEAK_RAMP,2030,0.00760274
SHOULDER_PEAK_PEAK_HOUR,2025,0.003611301
SHOULDER_PEAK_PEAK_HOUR,2030,0.003611301
SHOULDER_PEAK_CRITICAL_HOUR,2025,0.000190068
SHOULDER_PEAK_CRITICAL_HOUR,2030,0.000190068
SHOULDER_SUPERPEAK_BASE,2025,0.00380137
SHOULDER_SUPERPEAK_BASE,2030,0.00380137
SHOULDER_SUPERPEAK_RAMP,2025,0.000844749
SHOULDER_SUPERPEAK_RAMP,2030,0.000844749
SHOULDER_SUPERPEAK_PEAK_HOUR,2025,0.000401256
SHOULDER_SUPERPEAK_PEAK_HOUR,2030,0.000401256
SHOULDER_SUPERPEAK_CRITICAL_HOUR,2025,2.1119e-05
SHOULDER_SUPERPEAK_CRITICAL_HOUR,2030,2.1119e-05
