SEASON,DAYTYPE,YEAR,VALUE
S1,Weekday,2020,65.0
S1,Weekday,2021,65.0
S1,Weekday,2022,65.0
S1,Weekday,2023,65.0
S1,Weekday,2024,65.0
S1,Weekday,2025,65.0
S1,Weekday,2026,65.0
S1,Weekday,2027,65.0
S1,Weekday,2028,65.0
S1,Weekday,2029,65.0
S1,Weekday,2030,65.0
S1,Weekend,2020,26.0
S1,Weekend,2021,26.0
S1,Weekend,2022,26.0
S1,Weekend,2023,26.0
S1,Weekend,2024,26.0
S1,Weekend,2025,26.0
S1,Weekend,2026,26.0
S1,Weekend,2027,26.0
S1,Weekend,2028,26.0
S1,Weekend,2029,26.0
S1,Weekend,2030,26.0
S2,Weekday,2020,65.0
S2,Weekday,2021,65.0
S2,Weekday,2022,65.0
S2,Weekday,2023,65.0
S2,Weekday,2024,65.0
S2,Weekday,2025,65.0
S2,Weekday,2026,65.0
S2,Weekday,2027,65.0
S2,Weekday,2028,65.0
S2,Weekday,2029,65.0
S2,Weekday,2030,65.0
S2,Weekend,2020,26.0
S2,Weekend,2021,26.0
S2,Weekend,2022,26.0
S2,Weekend,2023,26.0
S2,Weekend,2024,26.0
S2,Weekend,2025,26.0
S2,Weekend,2026,26.0
S2,Weekend,2027,26.0
S2,Weekend,2028,26.0
S2,Weekend,2029,26.0
S2,Weekend,2030,26.0
S3,Weekday,2020,65.0
S3,Weekday,2021,65.0
S3,Weekday,2022,65.0
S3,Weekday,2023,65.0
S3,Weekday,2024,65.0
S3,Weekday,2025,65.0
S3,Weekday,2026,65.0
S3,Weekday,2027,65.0
S3,Weekday,2028,65.0
S3,Weekday,2029,65.0
S3,Weekday,2030,65.0
S3,Weekend,2020,26.0
S3,Weekend,2021,26.0
S3,Weekend,2022,26.0
S3,Weekend,2023,26.0
S3,Weekend,2024,26.0
S3,Weekend,2025,26.0
S3,Weekend,2026,26.0
S3,Weekend,2027,26.0
S3,Weekend,2028,26.0
S3,Weekend,2029,26.0
S3,Weekend,2030,26.0
S4,Weekday,2020,65.7143
S4,Weekday,2021,65.7143
S4,Weekday,2022,65.7143
S4,Weekday,2023,65.7143
S4,Weekday,2024,65.7143
S4,Weekday,2025,65.7143
S4,Weekday,2026,65.7143
S4,Weekday,2027,65.7143
S4,Weekday,2028,65.7143
S4,Weekday,2029,65.7143
S4,Weekday,2030,65.7143
S4,Weekend,2020,26.2857
S4,Weekend,2021,26.2857
S4,Weekend,2022,26.2857
S4,Weekend,2023,26.2857
S4,Weekend,2024,26.2857
S4,Weekend,2025,26.2857
S4,Weekend,2026,26.2857
S4,Weekend,2027,26.2857
S4,Weekend,2028,26.2857
S4,Weekend,2029,26.2857
S4,Weekend,2030,26.2857
