TIMESLICE,YEAR,VALUE
S1_WD_Day,2020,0.089285714
S1_WD_Day,2021,0.089285714
S1_WD_Day,2022,0.089285714
S1_WD_Day,2023,0.089285714
S1_WD_Day,2024,0.089285714
S1_WD_Day,2025,0.089285714
S1_WD_Day,2026,0.089285714
S1_WD_Day,2027,0.089285714
S1_WD_Day,2028,0.089285714
S1_WD_Day,2029,0.089285714
S1_WD_Day,2030,0.089285714
S1_WD_Night,2020,0.089285714
S1_WD_Night,2021,0.089285714
S1_WD_Night,2022,0.089285714
S1_WD_Night,2023,0.089285714
S1_WD_Night,2024,0.089285714
S1_WD_Night,2025,0.089285714
S1_WD_Night,2026,0.089285714
S1_WD_Night,2027,0.089285714
S1_WD_Night,2028,0.089285714
S1_WD_Night,2029,0.089285714
S1_WD_Night,2030,0.089285714
S1_WE_Day,2020,0.035714286
S1_WE_Day,2021,0.035714286
S1_WE_Day,2022,0.035714286
S1_WE_Day,2023,0.035714286
S1_WE_Day,2024,0.035714286
S1_WE_Day,2025,0.035714286
S1_WE_Day,2026,0.035714286
S1_WE_Day,2027,0.035714286
S1_WE_Day,2028,0.035714286
S1_WE_Day,2029,0.035714286
S1_WE_Day,2030,0.035714286
S1_WE_Night,2020,0.035714286
S1_WE_Night,2021,0.035714286
S1_WE_Night,2022,0.035714286
S1_WE_Night,2023,0.035714286
S1_WE_Night,2024,0.035714286
S1_WE_Night,2025,0.035714286
S1_WE_Night,2026,0.035714286
S1_WE_Night,2027,0.035714286
S1_WE_Night,2028,0.035714286
S1_WE_Night,2029,0.035714286
S1_WE_Night,2030,0.035714286
S2_WD_Day,2020,0.089285714
S2_WD_Day,2021,0.089285714
S2_WD_Day,2022,0.089285714
S2_WD_Day,2023,0.089285714
S2_WD_Day,2024,0.089285714
S2_WD_Day,2025,0.089285714
S2_WD_Day,2026,0.089285714
S2_WD_Day,2027,0.089285714
S2_WD_Day,2028,0.089285714
S2_WD_Day,2029,0.089285714
S2_WD_Day,2030,0.089285714
S2_WD_Night,2020,0.089285714
S2_WD_Night,2021,0.089285714
S2_WD_Night,2022,0.089285714
S2_WD_Night,2023,0.089285714
S2_WD_Night,2024,0.089285714
S2_WD_Night,2025,0.089285714
S2_WD_Night,2026,0.089285714
S2_WD_Night,2027,0.089285714
S2_WD_Night,2028,0.089285714
S2_WD_Night,2029,0.089285714
S2_WD_Night,2030,0.089285714
S2_WE_Day,2020,0.035714286
S2_WE_Day,2021,0.035714286
S2_WE_Day,2022,0.035714286
S2_WE_Day,2023,0.035714286
S2_WE_Day,2024,0.035714286
S2_WE_Day,2025,0.035714286
S2_WE_Day,2026,0.035714286
S2_WE_Day,2027,0.035714286
S2_WE_Day,2028,0.035714286
S2_WE_Day,2029,0.035714286
S2_WE_Day,2030,0.035714286
S2_WE_Night,2020,0.035714286
S2_WE_Night,2021,0.035714286
S2_WE_Night,2022,0.035714286
S2_WE_Night,2023,0.035714286
S2_WE_Night,2024,0.035714286
S2_WE_Night,2025,0.035714286
S2_WE_Night,2026,0.035714286
S2_WE_Night,2027,0.035714286
S2_WE_Night,2028,0.035714286
S2_WE_Night,2029,0.035714286
S2_WE_Night,2030,0.035714286
S3_WD_Day,2020,0.089285714
S3_WD_Day,2021,0.089285714
S3_WD_Day,2022,0.089285714
S3_WD_Day,2023,0.089285714
S3_WD_Day,2024,0.089285714
S3_WD_Day,2025,0.089285714
S3_WD_Day,2026,0.089285714
S3_WD_Day,2027,0.089285714
S3_WD_Day,2028,0.089285714
S3_WD_Day,2029,0.089285714
S3_WD_Day,2030,0.089285714
S3_WD_Night,2020,0.089285714
S3_WD_Night,2021,0.089285714
S3_WD_Night,2022,0.089285714
S3_WD_Night,2023,0.089285714
S3_WD_Night,2024,0.089285714
S3_WD_Night,2025,0.089285714
S3_WD_Night,2026,0.089285714
S3_WD_Night,2027,0.089285714
S3_WD_Night,2028,0.089285714
S3_WD_Night,2029,0.089285714
S3_WD_Night,2030,0.089285714
S3_WE_Day,2020,0.035714286
S3_WE_Day,2021,0.035714286
S3_WE_Day,2022,0.035714286
S3_WE_Day,2023,0.035714286
S3_WE_Day,2024,0.035714286
S3_WE_Day,2025,0.035714286
S3_WE_Day,2026,0.035714286
S3_WE_Day,2027,0.035714286
S3_WE_Day,2028,0.035714286
S3_WE_Day,2029,0.035714286
S3_WE_Day,2030,0.035714286
S3_WE_Night,2020,0.035714286
S3_WE_Night,2021,0.035714286
S3_WE_Night,2022,0.035714286
S3_WE_Night,2023,0.035714286
S3_WE_Night,2024,0.035714286
S3_WE_Night,2025,0.035714286
S3_WE_Night,2026,0.035714286
S3_WE_Night,2027,0.035714286
S3_WE_Night,2028,0.035714286
S3_WE_Night,2029,0.035714286
S3_WE_Night,2030,0.035714286
S4_WD_Day,2020,0.089285714
S4_WD_Day,2021,0.089285714
S4_WD_Day,2022,0.089285714
S4_WD_Day,2023,0.089285714
S4_WD_Day,2024,0.089285714
S4_WD_Day,2025,0.089285714
S4_WD_Day,2026,0.089285714
S4_WD_Day,2027,0.089285714
S4_WD_Day,2028,0.089285714
S4_WD_Day,2029,0.089285714
S4_WD_Day,2030,0.089285714
S4_WD_Night,2020,0.089285714
S4_WD_Night,2021,0.089285714
S4_WD_Night,2022,0.089285714
S4_WD_Night,2023,0.089285714
